,Features
0,Artist_Toneelschuur Producties | Steef de Jong
1,"Artist_Tessa Sunniva, Suzan Seegers, John Vooijs, Tony Neef, ensemble en band"
2,Artist_Theater Rotterdam: Alida Dors
3,Artist_Lucas de Man
4,Artist_Oxygen
5,"Artist_Junior Company, Het Nationale Ballet & ISH Dance Collective"
6,Artist_BonteHond | Orkater
7,Artist_Toneelschuur Producties | Theater Oostpool | Abdel Daoudi
8,Venue_Plein Zaal
9,Genre_Verhuring
10,Genre_Opera
11,Artist_PeuterVestival: Maas theater en dans
12,Artist_Beth & Flo
13,"Artist_Brigitte Heitzer, Freek Bartels e.a."
14,Artist_Orkater/De Nieuwkomers/Konvooi
15,Genre_Cabaret
16,Artist_Sadettin K - Monumentaal
17,"Artist_Kluun, Leon Verdonschot en grote liveband"
18,Artist_Nina de la Parra & Sanne Landvreugd
19,Artist_De Warme Winkel (voorheen toneelgroep Amsterdam)
20,Artist_Rundfunk
21,Artist_Urban Myth
22,PostType_IG reel
23,Artist_Wart Kamps
24,Artist_Richard Groenendijk
25,"Artist_DAMN, HONEY"
26,Artist_Jazz Café
27,Artist_Charlie and the Chocolate Factory - de Musical
28,Artist_Meneer Monster
29,Artist_Panama Pictures
30,Artist_Tg. Winterberg
31,Genre_Anders
32,Genre_Divers
33,Genre_Jongeren
34,Artist_OPERA2DAY & New European Ensemble
35,Artist_Productiehuis Lente | Roos Schlikker en Erris van Ginkel
36,Genre_Komedie
37,Artist_OG3NE
38,Artist_Honey Eavis i.s.m. Frontaal Theaterbureau
39,Artist_Joost Zwagerman Lezing
40,Artist_Michelle David & The True-tones
41,Artist_Nederlands Kamerkoor i.s.m. Dance Company Nanine Linning
42,Artist_Huub Stapel
43,"Genre_Musical, Verhuring"
44,INSTA
45,Artist_Morssinkhof Terra Theaterproducties
46,Artist_Theatergroep Horizon Musicalproducties
47,Artist_BEER theaterproducties
48,FB
49,Artist_BonteHond
50,Artist_Het Ministerie van Onverrichter Zake
51,Genre_Toneel
52,hour
53,Artist_Saman Amini
54,Artist_Renée van Wegberg
55,Artist_Spinvis
56,Artist_De Theateralliantie & Theater Oostpool
57,Artist_Fuse
58,Genre_Familie
59,"Artist_Willeke van Ammelrooy, Wilbert Gieske e.a."
60,Artist_Yamato
61,Artist_Tim Fransen
62,Artist_mugmetdegoudentand
63,Artist_Carel Kraayenhof Quartet
64,"Artist_Carine Crutzen, Willem Voogd, Marisa van Eyle e.a."
65,Artist_Thjum Arts
66,Artist_De Alex Klaasen Revue
67,Artist_De Spelersfederatie en de Theatertroep
68,Artist_Rolf Sanchez
69,Artist_Theaterweekend: Jim Bakkum e.a.
70,Artist_Theater Oostpool
71,Artist_Collectief Het Paradijs
72,Artist_nijntje de musical
73,Artist_Ensemble SeaSession en Servaes Nelissen
74,Artist_LINK&KO / Hollandse Luchten
75,Artist_Stefano Keizers
76,Artist_Ilse DeLange
77,Artist_Jawad Es Soufi
78,Artist_Micha Wertheim
79,Artist_Michael starring Ben
80,Artist_WAT WE DOEN & Theater Rotterdam
81,Genre_Dans
82,Artist_Legendary Albums Live
83,"Artist_Nederlands Kamerorkest en Nikola Meeuwsen, piano"
84,Artist_Rayen Panday
85,Artist_Släpstick
86,Artist_Jazz Café met Ronald Douglas
87,"Artist_Sandra & Jeroen van Veen, met Wilma de Rek"
88,Artist_Via Rudolphi Producties
89,Genre_Klassiek
90,Genre_Theaterconcert
91,Artist_Noord Nederlands Toneel
92,Artist_Sven Ratzke
93,Genre_Talkshow
94,Artist_Pheifer & Blom
95,"Artist_Tom Feltgen, cello & Noriko Yabe, piano"
96,Artist_Jip Smit
97,Artist_HNTjong i.s.m. Stadsschouwburg Utrecht
98,"Artist_Waldemar Torenstra, Astrid van Eck en Vincent Croiset"
99,Genre_Musical
100,Artist_De Speld Theater
101,Artist_Jazz Café met Roos Jonker
102,"Artist_Maria Goos, Michiel de Jong, Sieger Sloot en Alles voor de Kunsten"
103,"Genre_Dans, Muziektheater"
104,Artist_Het Nationale Theater
105,Genre_Randprogrammering
106,Artist_Aaf Brandt Corstius
107,Artist_Jan Kooijman e.a.
108,Artist_Erwin Nyhoff & liveband
109,Artist_Nederlandse Bachvereniging
110,Artist_Peter Blok en Bas Hoeflaak
111,Artist_Pink Floyd Project
112,PostType_Video
113,Genre_Jazz
114,Artist_Orkater en het Bijlmer Parktheater
115,"Artist_Maartje van de Wetering, Xander van Vledder e.a."
116,Artist_Jakop Ahlbom Company
117,Artist_Jon van Eerd
118,Artist_Waylon
119,Artist_De Toneelmakerij en Circus Treurdier
120,Artist_LeineRoebana
121,Artist_Theaterweekend: Van Hoorne Entertainment
122,Genre_Overig
123,Artist_Nederlandse Reisopera
